INSERT INTO tips (id, title, content, like_count, dislike_count, comment_count, pregnancy_week, views) VALUES
('T0034', "Manage Stress Effectively", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 33, 3, 0, 7, 392),
('T0035', "Get Adequate Rest", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 40, 6, 8, 7, 646),
('T0036', "Manage Stress Effectively", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 28, 2, 3, 8, 641),
('T0037', "Support Your Mental Wellbeing", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 36, 1, 12, 8, 976),
('T0038', "Manage Stress Effectively", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 97, 2, 6, 8, 607),
('T0039', "Eat Balanced Meals", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 74, 6, 18, 8, 778),
('T0040', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 29, 10, 1, 8, 769),
('T0041', "Attend Antenatal Checkups", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 95, 4, 18, 9, 190),
('T0042', "Monitor Your Baby's Movements", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 47, 8, 8, 9, 470),
('T0043', "Monitor Your Baby's Movements", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 45, 2, 5, 9, 546),
('T0044', "Stay Hydrated", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 40, 7, 15, 9, 931),
('T0045', "Manage Stress Effectively", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 11, 3, 6, 9, 901),
('T0046', "Manage Stress Effectively", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 23, 0, 10, 10, 517),
('T0047', "Take Prenatal Vitamins", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 67, 3, 17, 10, 625),
('T0048', "Manage Stress Effectively", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 69, 5, 12, 10, 747),
('T0049', "Monitor Your Baby's Movements", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 22, 5, 5, 10, 242),
('T0050', "Get Adequate Rest", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 61, 2, 1, 10, 758),
('T0051', "Manage Stress Effectively", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 49, 3, 16, 11, 986),
('T0052', "Avoid Harmful Substances", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 21, 4, 11, 11, 348),
('T0053', "Stay Hydrated", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 61, 8, 12, 11, 145),
('T0054', "Manage Stress Effectively", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 21, 8, 20, 11, 269),
('T0055', "Practice Gentle Exercise", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 88, 2, 5, 11, 163),
('T0056', "Take Prenatal Vitamins", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 50, 5, 10, 12, 111),
('T0057', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 67, 0, 4, 12, 271),
('T0058', "Attend Antenatal Checkups", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 84, 5, 19, 12, 538),
('T0059', "Take Prenatal Vitamins", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 40, 8, 6, 12, 475),
('T0060', "Practice Gentle Exercise", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 89, 6, 0, 12, 883),
('T0061', "Practice Gentle Exercise", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 59, 10, 16, 13, 188),
('T0062', "Support Your Mental Wellbeing", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 46, 0, 12, 13, 886),
('T0063', "Support Your Mental Wellbeing", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 37, 9, 12, 13, 337),
('T0064', "Get Adequate Rest", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 38, 9, 13, 13, 424),
('T0065', "Take Prenatal Vitamins", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 79, 6, 2, 13, 129),
('T0066', "Avoid Harmful Substances", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 30, 3, 2, 14, 515),
('T0067', "Manage Stress Effectively", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 62, 6, 8, 14, 533),
('T0068', "Practice Gentle Exercise", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 12, 7, 1, 14, 571),
('T0069', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 78, 1, 9, 14, 444),
('T0070', "Eat Balanced Meals", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 89, 4, 6, 14, 734),
('T0071', "Manage Stress Effectively", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 87, 4, 3, 15, 442),
('T0072', "Get Adequate Rest", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 94, 2, 19, 15, 493),
('T0073', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 61, 5, 18, 15, 538),
('T0074', "Get Adequate Rest", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 28, 2, 17, 15, 340),
('T0075', "Support Your Mental Wellbeing", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 33, 10, 3, 15, 182),
('T0076', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 31, 6, 16, 16, 370),
('T0077', "Stay Hydrated", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 75, 5, 3, 16, 643),
('T0078', "Stay Hydrated", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 71, 9, 15, 16, 232),
('T0079', "Avoid Harmful Substances", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 35, 7, 6, 16, 830),
('T0080', "Manage Stress Effectively", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 53, 9, 7, 16, 416),
('T0081', "Get Adequate Rest", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 34, 2, 7, 17, 218),
('T0082', "Get Adequate Rest", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 11, 9, 8, 17, 245),
('T0083', "Avoid Harmful Substances", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 82, 2, 4, 17, 607),
('T0084', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 75, 4, 18, 17, 868),
('T0085', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 98, 2, 4, 17, 689),
('T0086', "Stay Hydrated", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 57, 8, 0, 18, 595),
('T0087', "Practice Gentle Exercise", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 86, 5, 2, 18, 633),
('T0088', "Avoid Harmful Substances", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 77, 8, 5, 18, 994),
('T0089', "Avoid Harmful Substances", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 76, 9, 17, 18, 439),
('T0090', "Get Adequate Rest", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 58, 9, 6, 18, 380),
('T0091', "Manage Stress Effectively", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 79, 2, 6, 19, 982),
('T0092', "Support Your Mental Wellbeing", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 50, 3, 20, 19, 979),
('T0093', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 32, 9, 9, 19, 252),
('T0094', "Stay Hydrated", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 77, 10, 4, 19, 767),
('T0095', "Eat Balanced Meals", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 40, 0, 16, 19, 533),
('T0096', "Support Your Mental Wellbeing", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 27, 3, 3, 20, 902),
('T0097', "Practice Gentle Exercise", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 64, 2, 13, 20, 735),
('T0098', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 13, 6, 2, 20, 526),
('T0099', "Practice Gentle Exercise", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 66, 1, 9, 20, 879),
('T0100', "Take Prenatal Vitamins", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 84, 6, 9, 20, 645),
('T0101', "Stay Hydrated", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 17, 5, 20, 21, 638),
('T0102', "Eat Balanced Meals", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 10, 1, 14, 21, 271),
('T0103', "Practice Gentle Exercise", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 30, 10, 2, 21, 223),
('T0104', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 30, 3, 1, 21, 898),
('T0105', "Support Your Mental Wellbeing", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 60, 2, 20, 21, 899),
('T0106', "Practice Gentle Exercise", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 51, 10, 8, 22, 790),
('T0107', "Monitor Your Baby's Movements", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 44, 3, 19, 22, 930),
('T0108', "Eat Balanced Meals", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 22, 8, 10, 22, 639),
('T0109', "Manage Stress Effectively", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 39, 9, 0, 22, 857),
('T0110', "Attend Antenatal Checkups", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 37, 10, 19, 22, 346),
('T0111', "Avoid Harmful Substances", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 17, 2, 11, 23, 435),
('T0112', "Avoid Harmful Substances", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 58, 6, 8, 23, 577),
('T0113', "Support Your Mental Wellbeing", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 15, 7, 15, 23, 562),
('T0114', "Take Prenatal Vitamins", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 47, 8, 8, 23, 284),
('T0115', "Stay Hydrated", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 67, 3, 1, 23, 966),
('T0116', "Attend Antenatal Checkups", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 81, 0, 2, 24, 853),
('T0117', "Take Prenatal Vitamins", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 23, 9, 11, 24, 135),
('T0118', "Eat Balanced Meals", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 82, 1, 16, 24, 997),
('T0119', "Stay Hydrated", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 51, 3, 7, 24, 702),
('T0120', "Take Prenatal Vitamins", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 89, 4, 7, 24, 872),
('T0121', "Monitor Your Baby's Movements", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 94, 8, 19, 25, 468),
('T0122', "Eat Balanced Meals", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 70, 8, 16, 25, 983),
('T0123', "Attend Antenatal Checkups", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 91, 10, 20, 25, 668),
('T0124', "Stay Hydrated", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 75, 6, 3, 25, 692),
('T0125', "Attend Antenatal Checkups", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 49, 8, 0, 25, 894),
('T0126', "Avoid Harmful Substances", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 70, 3, 15, 26, 337),
('T0127', "Eat Balanced Meals", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 54, 1, 7, 26, 447),
('T0128', "Support Your Mental Wellbeing", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 24, 7, 1, 26, 338),
('T0129', "Monitor Your Baby's Movements", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 31, 9, 12, 26, 447),
('T0130', "Manage Stress Effectively", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 95, 10, 20, 26, 416),
('T0131', "Eat Balanced Meals", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 46, 1, 18, 27, 726),
('T0132', "Stay Hydrated", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 85, 4, 6, 27, 290),
('T0133', "Practice Gentle Exercise", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 34, 3, 12, 27, 393),
('T0134', "Avoid Harmful Substances", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 29, 4, 5, 27, 117),
('T0135', "Eat Balanced Meals", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 26, 4, 15, 27, 794),
('T0136', "Avoid Harmful Substances", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 83, 5, 14, 28, 265),
('T0137', "Support Your Mental Wellbeing", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 67, 6, 4, 28, 616),
('T0138', "Eat Balanced Meals", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 22, 9, 3, 28, 596),
('T0139', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 39, 10, 6, 28, 899),
('T0140', "Get Adequate Rest", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 32, 5, 14, 28, 287),
('T0141', "Avoid Harmful Substances", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 14, 9, 18, 29, 227),
('T0142', "Monitor Your Baby's Movements", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 86, 2, 0, 29, 522),
('T0143', "Get Adequate Rest", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 73, 1, 3, 29, 263),
('T0144', "Manage Stress Effectively", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 51, 9, 9, 29, 956),
('T0145', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 96, 6, 2, 29, 378),
('T0146', "Eat Balanced Meals", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 32, 5, 19, 30, 333),
('T0147', "Monitor Your Baby's Movements", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 54, 9, 11, 30, 652),
('T0148', "Attend Antenatal Checkups", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 74, 3, 12, 30, 249),
('T0149', "Attend Antenatal Checkups", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 90, 2, 7, 30, 493),
('T0150', "Monitor Your Baby's Movements", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 26, 9, 0, 30, 450),
('T0151', "Monitor Your Baby's Movements", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 93, 9, 7, 31, 226),
('T0152', "Get Adequate Rest", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 77, 8, 5, 31, 453),
('T0153', "Avoid Harmful Substances", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 80, 6, 9, 31, 154),
('T0154', "Eat Balanced Meals", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 18, 10, 4, 31, 298),
('T0155', "Get Adequate Rest", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 100, 4, 19, 31, 625),
('T0156', "Manage Stress Effectively", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 84, 0, 6, 32, 386),
('T0157', "Get Adequate Rest", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 51, 2, 8, 32, 627),
('T0158', "Practice Gentle Exercise", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 71, 4, 10, 32, 976),
('T0159', "Avoid Harmful Substances", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 16, 7, 13, 32, 803),
('T0160', "Eat Balanced Meals", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 40, 8, 12, 32, 772),
('T0161', "Practice Gentle Exercise", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 30, 5, 0, 33, 922),
('T0162', "Manage Stress Effectively", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 24, 8, 12, 33, 557),
('T0163', "Get Adequate Rest", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 71, 5, 0, 33, 760),
('T0164', "Take Prenatal Vitamins", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 42, 3, 4, 33, 477),
('T0165', "Attend Antenatal Checkups", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 58, 8, 8, 33, 665),
('T0166', "Eat Balanced Meals", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 72, 1, 4, 34, 206),
('T0167', "Stay Hydrated", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 55, 9, 17, 34, 505),
('T0168', "Support Your Mental Wellbeing", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 72, 0, 14, 34, 638),
('T0169', "Practice Gentle Exercise", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 18, 1, 5, 34, 791),
('T0170', "Get Adequate Rest", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 19, 6, 12, 34, 908),
('T0171', "Eat Balanced Meals", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 80, 3, 0, 35, 988),
('T0172', "Eat Balanced Meals", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 16, 1, 2, 35, 208),
('T0173', "Take Prenatal Vitamins", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 14, 4, 4, 35, 887),
('T0174', "Stay Hydrated", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 15, 7, 4, 35, 726),
('T0175', "Manage Stress Effectively", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 82, 3, 18, 35, 115),
('T0176', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 88, 3, 5, 36, 391),
('T0177', "Manage Stress Effectively", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 62, 2, 2, 36, 779),
('T0178', "Practice Gentle Exercise", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 25, 6, 5, 36, 852),
('T0179', "Manage Stress Effectively", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 52, 10, 3, 36, 499),
('T0180', "Eat Balanced Meals", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 62, 1, 13, 36, 954),
('T0181', "Practice Gentle Exercise", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 100, 5, 16, 37, 976),
('T0182', "Get Adequate Rest", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 70, 6, 0, 37, 579),
('T0183', "Support Your Mental Wellbeing", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 19, 6, 4, 37, 220),
('T0184', "Monitor Your Baby's Movements", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 32, 3, 20, 37, 785),
('T0185', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 57, 0, 19, 37, 976),
('T0186', "Practice Gentle Exercise", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 30, 7, 7, 38, 860),
('T0187', "Attend Antenatal Checkups", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 97, 5, 17, 38, 880),
('T0188', "Stay Hydrated", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 72, 3, 17, 38, 356),
('T0189', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 62, 9, 8, 38, 295),
('T0190', "Manage Stress Effectively", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 65, 3, 0, 38, 199),
('T0191', "Manage Stress Effectively", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 69, 2, 6, 39, 877),
('T0192', "Stay Hydrated", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 85, 0, 2, 39, 965),
('T0193', "Stay Hydrated", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 50, 10, 2, 39, 620),
('T0194', "Avoid Harmful Substances", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 53, 2, 20, 39, 989),
('T0195', "Practice Gentle Exercise", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 43, 4, 9, 39, 849),
('T0196', "Eat Balanced Meals", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 77, 0, 9, 40, 334),
('T0197', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 16, 0, 10, 40, 581),
('T0198', "Stay Hydrated", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 77, 10, 9, 40, 403),
('T0199', "Practice Gentle Exercise", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 93, 2, 15, 40, 145),
('T0200', "Take Prenatal Vitamins", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 96, 10, 10, 40, 320);
